,gbif_id
0,5341184
1,10657796
2,2609158
3,3188743
4,7958539
5,3229708
6,10760205
7,2592786
8,2926612
9,5300245
10,5261338
11,2609180
12,2914338
13,7473187
14,8108066
15,5261362
16,2650163
17,3188794
18,3407931
19,3188797
20,8925249
21,5261384
22,5261385
23,3135561
24,7315537
25,3426392
26,5410907
27,3426404
28,5290087
29,2701418
30,5341297
31,3108983
32,5283964
33,7327868
34,8405127
35,7565449
36,3190932
37,8073364
38,2689175
39,7887000
40,8345757
41,2603168
42,9148577
43,5290146
44,2689187
45,2683049
46,7411883
47,2689197
48,4130991
49,7327920
50,2816176
51,9011379
52,2689205
53,2689210
54,2689212
55,2689218
56,2683084
57,3049679
58,9509071
59,2601174
60,2601176
61,2601181
62,4139238
63,5710061
64,2728174
65,8368371
66,2914547
67,3064056
68,2816250
69,7225596
70,2603260
71,5710080
72,7768329
73,9462026
74,8366345
75,8089871
76,5710096
77,3033363
78,3033374
79,5331235
80,5384492
81,8395064
82,7792960
83,9011521
84,7874883
85,5333323
86,8300875
87,2586957
88,5362008
89,2797913
90,7608669
91,8548704
92,3033446
93,2605422
94,3191157
95,2603382
96,8227194
97,5939583
98,8386948
99,5710214
100,7459211
101,7680399
102,2808211
103,7960979
104,7598487
105,3049881
106,8034713
107,5257627
108,5384607
109,5710240
110,2703777
111,2701727
112,5333412
113,4276645
114,6754728
115,2810284
116,2703793
117,8339890
118,7768497
119,8550835
120,2668981
121,3189174
122,8647102
123,8300994
124,4112836
125,2587089
126,2607575
127,5286360
128,2873815
129,8348125
130,3045858
131,2709988
132,3170807
133,7758330
134,3027452
135,2607617
136,5605894
137,2724361
138,4117021
139,8323622
140,2675239
141,3928615
142,3045931
143,9245228
144,6609452
145,6400569
146,3840575
147,5366340
148,3170886
149,8952395
150,3191374
151,7952995
152,9673315
153,2701930
154,7862893
155,2669170
156,2701939
157,9437812
158,5282428
159,7903868
160,2857601
161,2927245
162,2603661
163,7248528
164,5411475
165,7459480
166,3050148
167,7957163
168,2669235
169,8190643
170,2650808
171,7506619
172,2726592
173,5282505
174,2724554
175,10859214
176,2726614
177,2650841
178,10027741
179,2702048
180,2673379
181,5389029
182,7334631
183,8336103
184,3992299
185,9075436
186,5391095
187,2603773
188,2603775
189,8622852
190,3025673
191,2704160
192,3050272
193,2681638
194,2681639
195,3033894
196,2675494
197,2605872
198,2681651
199,2710326
200,10742591
201,7246667
202,2681676
203,8448846
204,9063248
205,2704218
206,9202524
207,3928928
208,8639340
209,7580531
210,7924597
211,2681726
212,3412864
213,2677632
214,2704261
215,2728838
216,2677639
217,8407946
218,8207244
219,3189645
220,5374863
221,2679696
222,2677647
223,11103124
224,2679704
225,2679707
226,5372829
227,2679711
228,5352367
229,3431348
230,2687932
231,3120060
232,2679744
233,7941056
234,5331916
235,2651092
236,9995225
237,8250334
238,2608102
239,2651113
240,3118057
241,2726894
242,9004024
243,3189767
244,2675719
245,3107855
246,5284884
247,3105813
248,2882580
249,2706458
250,7926811
251,10843163
252,7439391
253,8188960
254,2888741
255,8188970
256,8229935
257,8186928
258,7918641
259,2724925
260,7601217
261,8195144
262,10808395
263,5411919
264,3085396
265,2706518
266,5366873
267,8621148
268,7871586
269,8350824
270,2888808
271,7615595
272,8279158
273,2722942
274,2727038
275,3085444
276,2792588
277,5358748
278,2722973
279,7845022
280,7972010
281,7931051
282,7795888
283,9485490
284,8144051
285,8590518
286,7486652
287,3093693
288,3085503
289,5260489
290,9002189
291,5260496
292,3028176
293,8848598
294,5358812
295,5260510
296,9213153
297,3048674
298,8930531
299,3128547
300,7529713
301,7292151
302,2888951
303,2675979
304,8248593
305,6612242
306,3034391
307,2888992
308,8342817
309,3392806
310,7376166
311,7904558
312,9172281
313,2600251
314,7296321
315,7572816
316,9823570
317,8273238
318,8377689
319,2604379
320,5373276
321,5391710
322,8285546
323,3753330
324,3026293
325,10685814
326,2608505
327,10448252
328,2727294
329,8605056
330,2651523
331,2688393
332,3134857
333,2891147
334,3083660
335,8418702
336,7103891
337,2977171
338,6391194
339,4126109
340,2688420
341,2606513
342,5275066
343,2600381
344,2700736
345,2600387
346,8226247
347,7603659
348,7501261
349,2608594
350,6364634
351,4126174
352,3134951
353,9188840
354,8400367
355,5281267
356,8211958
357,8934912
358,7527936
359,2723340
360,2725388
361,3423777
362,2704940
363,5383726
364,2889262
365,7530037
366,2700859
367,3169852
368,3083838
369,8400458
370,3003979
371,7693914
372,5531229
373,5283423
374,5283424
375,3001956
376,3171945
377,3169899
378,2674284
379,2674289
380,7933553
381,9424497
382,8132213
383,3171959
384,9137787
385,2600577
386,8285827
387,8406661
388,5664390
389,7622278
390,2674312
391,2913931
392,3032719
393,8871572
394,9453207
395,3757720
396,7696043
397,2723500
398,3032756
399,5275316
400,5346998
401,8228544
402,6428353
403,3032783
404,3426010
405,7919331
406,7319269
407,7821030
408,5281515
409,8285962
410,2676491
411,8011540
412,4280088
413,8998684
414,5371685
415,5295911
416,5586736
417,5371699
418,8232782
419,8191827
420,3753813
421,7470937
422,6610778
423,5281632
424,3135329
425,9375586
426,7817064
427,8048496
428,8587121
429,8165236
430,6027128
431,4120440
432,7589756
433,2606977
434,5373826
435,5371780
436,7653258
437,7651211
438,8312717
439,5289877
440,6369193
441,3602353
442,4106164
443,2678712
444,2791364
445,2688970
446,3172300
447,8087525
448,8208358
449,2703336
450,10790895
451,7911410
452,2607094
